Gene,WT_L8_rep1,WT_L8_rep2,WT_L12_rep1,WT_L12_rep2,KO_L8_rep1,KO_L8_rep2,KO_L12_rep1,KO_L12_rep2
Prok1,0,0,1,0,0,0,5,0
Mir6924,0,0,0,0,0,0,1,0
2010204K13Rik,124,85,148,195,199,136,168,120
Psme3,2147,2576,1844,1924,3776,3427,3328,2588
Gstm3,18,16,11,19,70,19,48,21
Pcnp,325,379,309,356,505,412,521,418
Cyp1a2,0,0,0,0,0,1,0,0
Msgn1,7,0,0,0,57,37,3,1
Olfr978,0,0,0,0,0,0,0,0
Mamdc4,56,71,110,77,70,36,122,38
BC030870,1,0,1,2,0,0,0,0
Cd200r2,0,0,0,0,0,0,1,0
Endou,1,2,1,0,0,3,0,1
Camsap2,1086,1318,986,1123,1242,1305,1670,1347
Mir6898,1,1,2,2,1,0,1,0
Olfr486,0,0,0,0,0,0,0,0
Nup88,1652,1562,1573,1603,2165,1555,2599,1708
Tab2,1626,2285,1684,1959,2217,2854,2675,3152
Cmtm8,244,334,291,437,97,30,163,44
Hmgn1,1720,2211,1726,2167,2969,1957,2715,1457
A230070E04Rik,9,7,4,2,20,77,61,63
Rnf32,27,16,31,27,31,12,31,18
Ppap2b,375,628,427,601,309,261,693,315
Ddx49,728,785,697,682,862,599,997,504
Lgmn,12003,13833,10908,11247,2426,553,2567,600
Lin9,293,318,271,293,325,334,393,256
Cpxm1,242,314,404,467,433,345,661,569
Ivns1abp,3842,5076,2976,4171,5644,5660,5279,3768
Olfr1112,0,0,0,0,0,0,0,0
Mrap2,3,2,0,0,2,3,4,2
Tmod3,1656,2123,1244,1345,1352,1363,1569,1100
9330111N05Rik,0,0,0,0,1,0,0,0
Tprkb,349,355,303,314,179,145,195,157
Gm2012,0,0,0,0,0,0,0,0
Fshb,0,0,0,0,0,0,0,0
5830454E08Rik,2,5,7,5,3,6,7,1
Prickle4,22,48,39,40,10,11,40,16
Shc1,753,966,619,814,842,559,709,556
Olfr1372-ps1,15,40,19,39,19,26,25,20
Chrna1,4,4,4,1,4,1,2,2
Kcnab2,12,5,9,18,29,9,78,38
Rab40c,392,384,443,473,506,295,564,251
Nfatc2ip,293,282,226,200,666,426,720,332
Gpr141,0,0,1,2,0,1,0,0
7420700N18Rik,0,0,0,0,0,0,0,0
Mettl4,145,143,96,101,217,212,206,180
4921507L20Rik,6,8,6,12,9,9,6,2
Olfr1193,0,0,0,0,0,0,0,0
Hnrnph1,4338,5337,4042,4320,5898,6041,7562,6245
Susd5,11,6,4,0,24,49,12,11
Olfr856-ps1,1,1,3,0,0,3,5,4
Olfr418-ps1,0,0,0,0,0,0,0,0
Enthd2,247,313,216,239,349,210,371,169
Vmn1r76,0,0,0,0,0,0,0,0
Col11a2,46,93,87,111,44,24,141,26
Mir6990,4,2,2,1,2,0,5,0
Zc3h6,25,39,28,44,44,31,86,51
Prkacb,749,1079,730,923,1170,1121,1591,1318
Gsx1,0,1,5,0,3,0,22,0
2610016A17Rik,0,0,0,0,0,0,0,0
1110017D15Rik,2,2,2,1,2,7,7,10
Ccdc186,404,359,420,372,242,251,387,314
Gnas,8106,13202,9010,13464,10713,13274,14000,16756
Socs1,26,27,38,66,54,16,45,6
Mir7683,0,0,0,0,0,0,0,0
Shroom4,92,126,50,67,230,182,281,196
Grhl2,189,144,118,99,311,227,422,230
Gas5,2191,2440,1939,2128,3851,3437,3640,2632
H60c,0,0,0,1,1,2,1,1
Iqcc,131,151,97,134,190,109,189,120
Gimap4,6,18,5,26,1,1,16,26
Scgb2b7,0,0,0,0,0,0,0,0
Gga1,547,722,727,770,677,353,894,365
Tsr3,203,279,215,259,339,169,330,162
Pnpla3,53,47,79,61,45,14,65,35
Rab10,1680,2135,1643,1821,1943,2310,2089,2294
Lrit3,0,0,1,0,0,0,1,0
Clcn5,1912,2219,1895,2019,853,689,1045,782
Nars,3373,3823,3233,3976,3728,2981,3415,2202
Styxl1,1,2,2,3,0,1,3,1
Ece2,159,192,120,123,224,110,162,64
Krt31,0,0,0,0,0,0,0,0
Sprr1a,18,27,12,10,23,29,16,14
Ank,1023,941,1044,1197,462,293,607,372
Ndrg3,397,469,500,473,509,591,505,467
Olfr829,0,0,0,0,0,0,0,0
Fam57b,15,10,12,2,52,20,73,8
Samm50,1310,1383,1119,1329,1492,646,1506,502
Spink4,2,3,5,2,2,0,1,0
Klhl12,437,483,428,457,711,518,635,436
Adad1,1,2,1,0,2,0,7,1
Mdm1,303,406,259,240,502,414,544,329
5430402O13Rik,0,0,2,1,0,1,1,4
Ifi27,2,2,6,7,2,4,11,4
Wisp2,2,2,2,2,1,0,1,1
Mt1,3558,3412,5163,4858,1429,638,1633,917
Hrh4,0,0,0,0,0,0,0,0
Dhrs4,201,185,204,210,282,299,359,287
Zrsr2,349,432,333,402,564,483,665,443
Eftud2,2338,2501,1549,1647,4311,3255,4236,2369
Arntl,417,353,571,477,285,169,280,166
Als2,1014,1301,1191,1415,826,595,1035,678
Nhp2,1182,1205,729,682,2330,1301,1784,788
Msi2,1047,1233,1203,1358,1958,1844,2827,2355
Mir410,9,0,4,0,6,6,9,4
Gc,75,122,98,248,37,15,51,55
2010107G12Rik,6,7,0,1,14,3,15,3
Pcdhb6,0,2,0,2,0,1,1,1
1700054A03Rik,0,0,0,0,0,0,0,0
A230057D06Rik,5,0,5,6,0,0,11,9
Mapre2,866,927,998,981,1200,1107,1260,894
Lifr,1913,1502,2871,2017,929,961,1030,1277
Gmpr,28,68,51,104,87,26,68,71
Plp1,48,42,21,27,71,64,53,51
Krt23,81,34,210,105,10,5,9,1
Natd1,875,1170,1061,1232,735,422,956,488
Hoxc8,44,75,185,306,291,213,85,57
Mia,0,2,2,5,14,6,12,2
Shroom2,550,516,529,544,843,591,707,503
Gm11529,0,0,0,0,0,0,0,2
Psmc2,1442,1679,1365,1510,2360,1684,2033,1399
En2,62,22,29,16,97,48,113,38
Hist2h3c1,0,3,1,0,0,1,0,0
Igf2r,8599,13670,11015,15589,5409,5993,12385,15426
Mir6383,0,0,0,0,0,0,0,0
9030612E09Rik,3,1,3,2,1,0,12,3
Pnpla1,6,2,3,5,1,1,2,1
Fam124a,293,154,682,270,148,98,175,86
Plcg1,1579,1889,1739,1919,1799,1557,2421,1613
Slco2a1,1152,965,3718,3634,177,27,270,91
Med30,198,193,154,199,258,236,269,174
Cplx1,7,4,1,1,18,13,13,8
Abhd3,20,17,16,25,6,8,22,14
Arhgap15,0,0,1,1,0,0,0,0
Skiv2l2,1604,1695,1253,1375,2207,2187,2261,1812
Scnn1b,6,13,8,7,4,6,12,7
Ctdp1,675,731,574,575,878,703,884,537
Slc22a28,0,0,0,0,0,1,0,0
Zfp648,0,0,0,0,0,0,0,0
Arl8a,781,923,938,964,802,707,782,692
Rbm25,3347,3798,3015,3394,4131,3854,4980,3666
Mir669a-1,0,0,0,0,0,0,0,0
Xpo7,2136,2035,1907,1802,2660,2427,2804,2052
Mir6991,0,2,2,4,1,0,2,0
St3gal5,272,380,503,493,268,183,298,242
Dcaf17,524,554,428,488,469,552,493,366
Tmem140,271,322,434,629,113,23,145,30
Guca1a,1,0,0,1,2,0,3,0
Pagr1a,388,537,414,486,522,379,532,357
Klk5,0,0,0,0,0,0,0,0
4930578N18Rik,0,0,0,0,0,0,0,0
Mpi,262,271,284,287,383,277,368,217
Galnt1,1702,2008,2054,2141,1767,1910,1868,1557
Six1,29,23,28,14,62,59,101,81
8030443G20Rik,0,0,0,0,0,0,0,0
Nif3l1,333,335,293,295,660,585,656,424
Ccdc174,167,202,162,188,102,202,135,264
Hr,37,34,14,11,97,54,121,41
Bicd1,127,100,101,162,237,304,368,493
BC053393,2,1,2,0,1,0,11,1
Polb,280,285,332,257,320,260,362,273
0610037L13Rik,248,288,298,331,333,219,361,195
Mmp17,41,29,37,37,61,42,105,46
Fyco1,273,331,384,362,231,190,444,385
Pcdhb20,7,19,9,21,10,23,83,110
Kptn,123,157,153,155,147,100,159,97
Mycbpap,22,30,26,47,22,12,26,4
Rax,0,2,2,0,3,0,12,1
Tmtc3,827,984,891,1004,968,1226,1057,1038
Rspry1,375,333,420,403,385,395,547,449
Tmbim1,665,775,1234,1481,479,217,429,258
Mir6908,0,0,0,0,0,0,1,0
Suv420h2,560,651,515,454,630,381,772,330
Grhl1,36,69,19,49,63,44,117,84
Ttc17,427,429,632,647,358,346,451,439
Teddm1b,0,0,0,0,0,0,0,0
Hopx,175,239,204,226,93,27,81,11
Fbxw27,0,0,0,0,0,0,0,0
Tsta3,426,502,411,424,540,343,520,284
Gm5860,0,0,0,0,0,0,0,0
Mir467c,0,0,0,1,0,0,0,0
BC051665,0,0,0,0,0,0,24,0
Mir7082,12,13,9,6,20,5,15,6
1700024G13Rik,1,0,0,0,1,0,0,0
Teddm3,0,0,0,0,0,0,0,0
A730020M07Rik,0,1,1,2,4,1,0,0
Xrcc6,381,438,350,355,603,468,694,443
Mir344h-1,0,0,0,0,0,0,0,0
Nolc1,3071,3126,2014,1944,4956,4624,4263,2867
Prss39,0,0,0,0,0,3,1,0
Olfr1450,0,0,0,0,0,0,0,0
Fam133b,352,368,238,295,663,455,595,395
Gabre,32,58,13,13,32,65,59,117
Mir449b,0,0,0,0,0,0,0,0
Krtap5-2,0,0,0,0,0,0,0,0
1700065D16Rik,13,3,5,5,6,7,13,3
4933406C10Rik,2,4,5,3,1,6,6,3
A930009A15Rik,0,0,0,0,0,0,0,0
Asb4,144,575,200,665,201,457,1260,2062
Gfra2,65,143,43,47,183,328,78,156
Olfr1404,0,0,0,0,0,0,0,0
Snn,597,801,560,690,953,794,1186,900
4930556N09Rik,0,0,0,0,0,0,0,0
Mtf2,1361,1649,1090,1232,2336,2178,2981,2214
Defb45,0,0,0,0,0,0,0,0
Psg17,5,5,0,0,7,10,2,4
Snx2,3146,3224,3038,3651,1367,972,1365,1117
Ldlrap1,1452,1044,2198,2239,476,215,625,186
Taf11,306,399,351,385,535,306,484,265
Zfp948,752,934,999,1221,234,380,303,442
Snord14d,0,0,0,0,0,0,0,0
Hspa9,5707,6296,5137,6332,7926,5827,7822,4980
Rab11fip2,175,191,179,199,161,204,278,247
Zfp182,186,214,208,212,179,145,255,176
Pld2,334,413,439,533,217,211,269,162
Lppr2,66,83,81,120,103,32,225,85
Tacc2,1655,1559,2343,2877,1368,1145,1739,1195
Vmn1r6,0,0,0,0,0,0,0,0
Olfr1323,0,0,0,0,0,0,0,0
Gm14625,0,0,0,0,0,0,0,0
Cep95,260,352,231,358,290,348,383,360
Slc16a13,346,471,238,377,412,208,370,174
Gm12942,20,32,31,52,30,19,48,26
Impdh1,573,570,639,465,1078,300,799,160
Bhmt,0,0,1,0,0,0,1,0
Sh3bgr,16,20,8,65,43,36,38,35
Muc13,448,500,873,1123,54,6,86,14
Csrp2,1114,2319,845,1267,1227,1413,1251,1311
Saraf,1451,1370,2170,2045,881,544,1088,677
Shank2,8,14,20,19,17,7,21,9
Mfn2,598,761,918,986,678,575,849,535
Mir465d,0,0,0,0,0,0,0,0
1810009A15Rik,428,443,306,287,747,543,553,448
Pard6b,1351,1794,1650,1584,725,667,681,259
Mir483,1,5,5,3,1,0,7,1
Atp10d,165,202,115,89,162,102,131,111
Gm12253,0,0,0,0,0,0,0,0
Zfp770,253,265,212,232,443,474,490,446
Olfr137,0,0,0,0,0,0,0,0
Zbtb16,286,380,492,645,277,131,327,108
Pacsin2,1977,2285,2263,2628,1134,839,1330,759
Stxbp1,189,203,216,209,324,468,483,516
7530416G11Rik,0,0,0,0,0,0,0,0
Slmo1,45,26,21,12,163,105,160,68
Per2,145,221,178,259,98,162,163,182
Vmp1,868,949,1156,1340,847,739,762,676
Gm15133,1,0,0,0,1,0,0,1
Olfr136,0,0,0,0,0,0,0,0
Atg2a,656,752,616,639,653,374,872,439
Stambpl1,27,60,51,47,44,50,42,38
Chd7,1663,1421,1302,864,2455,1968,2552,1247
Spink5,0,0,0,2,0,0,1,0
Mob3c,80,121,142,163,79,47,121,116
Lig1,2478,2438,1924,1672,3153,2580,2950,1856
H2-D1,192,200,193,191,253,107,188,43
Gm20865,0,0,0,0,0,0,0,0
Tcof1,1527,1501,1019,1027,2592,1931,2373,1272
Sh3bp5,365,527,509,652,146,113,348,215
Ccdc141,57,77,99,248,108,17,243,367
Olfr736,0,0,0,0,0,0,0,0
Crisp1,6,4,4,4,21,22,24,29
Fxr2,1702,1862,1628,1661,2474,1042,2816,1084
Erbb3,160,176,133,201,221,114,444,185
Maml3,390,463,466,492,510,360,565,295
Vmn2r59,0,0,0,0,0,0,0,0
Dcaf12,1338,1546,1377,1562,1351,1052,1461,814
Gdnf,7,10,22,15,8,7,45,12
Ncln,1299,1549,1301,1394,1392,972,1502,702
Olfr292,0,0,0,0,1,0,0,0
Gbp2b,0,0,0,0,0,0,0,0
Cttnbp2nl,602,847,589,795,1087,1025,1254,1135
Reg3b,0,0,0,0,0,0,0,0
Vmn1r158,0,0,0,0,0,0,0,0
Bad,164,212,237,207,136,69,213,97
G6bos,1,1,1,2,2,0,0,1
Rnf34,566,648,450,547,780,649,784,595
Lrp11,114,103,66,63,356,278,267,210
Mir7035,1,0,0,0,1,0,0,0
Lhx5,20,1,18,8,82,3,149,1
Olfr1216,0,0,0,0,0,0,0,0
Bmp7,235,293,254,369,468,510,503,377
4930474H20Rik,0,0,0,0,0,0,0,0
Olfr748,0,0,0,0,0,0,0,0
Cdrt4os1,0,0,0,0,0,0,0,0
Myl10,0,0,1,0,0,0,0,0
Dcc,16,4,41,6,38,13,656,110
Rnls,16,15,21,14,8,4,14,2
Flrt1,5,6,19,9,25,16,115,18
Klc1,542,629,767,744,649,437,1223,648
Olfr1385,0,0,0,0,0,0,0,0
Nisch,8328,9006,10410,9230,6516,6509,9975,7305
Zp1,9,10,8,14,1,0,4,0
Ccpg1os,14,31,40,36,30,24,34,42
7-Mar,1180,1455,1104,1372,1374,1335,1587,1416
Gpr139,0,0,1,0,1,1,4,1
Smc4,3505,4048,3035,2997,3879,3557,4285,3208
Aspdh,0,0,2,3,1,1,5,1
Mir467a-5,0,0,0,0,0,0,0,0
Arl6ip5,470,569,559,625,318,370,265,327
Hsd3b6,0,30,30,117,4,4,2,9
Snord42b,2,2,2,3,5,2,6,3
Rfc2,668,813,622,664,1074,898,1121,768
4931430N09Rik,0,0,0,0,0,0,0,0
Fbxo32,47,104,57,129,103,56,107,72
Irf2bp1,538,573,460,604,674,314,851,241
Farsa,895,910,769,625,1109,853,1055,597
Tgfb2,86,278,147,292,252,302,477,788
Pa2g4,2958,3127,1815,1898,5806,5550,4756,3685
Grip1,276,464,287,536,635,574,631,455
Mtap,709,741,525,565,1662,1240,1268,956
Gm20098,0,0,0,0,0,0,0,0
Smagp,174,173,238,188,173,71,186,66
Zfp940,105,80,98,63,180,148,150,100
Ss18l1,98,110,127,113,121,100,254,157
Rtn4ip1,112,123,108,112,206,133,171,112
Aplf,185,184,230,200,85,96,86,57
Gfpt2,522,948,110,185,623,893,577,423
Ccdc149,17,30,29,52,28,11,39,6
Mir7059,1,0,1,2,1,1,0,0
Gpn2,235,248,238,211,380,237,348,117
Podxl,13809,23939,10991,15788,7568,4518,7148,2679
Cmpk2,12,40,19,19,19,13,41,23
Stpg1,2,1,0,4,7,2,6,5
Sel1l2,0,0,0,0,0,0,0,0
Zbed3,179,195,209,289,298,301,503,540
Olfr908,0,0,0,0,0,0,0,0
Mir374c,0,0,0,0,0,0,0,0
Olfr98,0,0,0,0,0,0,0,0
Gm11549,5,8,0,5,7,10,4,3
Fhl4,11,19,16,20,7,4,15,12
2210015D19Rik,68,87,73,97,109,45,88,50
Vmn1r81,0,0,0,0,0,0,0,0
Nol8,730,740,585,553,1190,1081,975,778
Dnajb12,491,600,587,641,495,435,543,374
Tssk3,2,0,0,1,0,0,3,1
Pisd-ps3,0,0,0,0,0,0,0,0
Cdhr5,4,7,2,5,7,2,5,3
Tmem256,473,483,582,591,289,148,423,140
9430007A20Rik,0,0,0,0,0,0,0,0
BC031181,441,542,517,525,519,362,461,291
Plcl1,12,18,46,36,15,14,64,55
Cryba4,0,0,0,0,0,0,1,0
Zfp51,219,197,175,209,247,194,203,200
Ntrk2,23,33,38,26,81,25,388,397
Ribc1,34,41,24,13,44,47,30,27
Mir8120,0,0,1,1,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0
Glyr1,2884,3474,2897,3083,3146,2877,3585,2536
Gatc,231,276,278,235,279,257,393,277
Gspt1,3224,3688,2644,2779,4917,5316,4591,4090
Lamtor4,282,247,284,293,237,137,214,122
Atp10b,12,19,12,24,2,8,9,6
Mir692-1,0,0,0,0,0,0,0,0
Ctrl,3,5,8,4,11,7,13,6
2700060E02Rik,1136,1144,1374,1142,1246,1278,1111,1308
Kcnh3,22,10,53,36,55,19,36,16
9530003J23Rik,0,0,0,0,1,0,1,0
Srpk3,0,2,5,7,0,1,6,4
Mir7222,0,0,0,0,0,0,0,0
Gm13544,0,0,0,0,1,0,0,0
D16Ertd472e,117,194,95,128,442,479,437,352
Wdr33,1168,1337,1044,1074,1703,1222,1757,948
Pcif1,412,482,406,464,438,262,662,350
2310009B15Rik,14,27,22,22,36,24,26,19
Cyp4f37,0,0,0,0,0,2,2,0
Rasd2,43,57,28,56,68,40,44,18
Rtp3,0,0,2,2,0,0,0,1
Klhl2,1786,1758,1624,1724,666,417,774,342
Olfr1238,0,0,0,0,0,0,0,0
Tomm6,946,1065,962,957,1211,1297,1022,1070
Mapk11,80,76,58,39,336,208,337,127
Gpm6a,50,68,57,44,49,33,209,57
4933406J10Rik,0,0,0,0,0,0,0,0
Mir196a-2,0,0,0,0,0,0,0,0
Plk3,169,188,186,149,167,73,246,106
Emilin2,52,151,43,36,107,179,207,116
Dnaaf2,252,316,221,268,371,278,379,209
Ggh,86,98,133,137,108,138,179,167
Foxo1,575,606,674,781,567,300,655,458
Arfgap1,1250,1189,2080,1780,789,453,1023,525
Klhl10,5,4,6,4,6,1,6,7
Prdm13,0,2,0,1,4,10,17,3
Socs4,258,311,308,282,240,289,289,229
Mpv17l,38,37,49,45,76,55,91,84
Rasa2,537,659,487,658,606,615,543,492
Snx9,810,903,1021,1207,472,344,620,405
Jade1,4353,4217,4577,4746,2147,963,2685,1103
Xylt1,57,47,98,107,71,49,101,57
Zcchc7,312,357,301,320,381,322,424,269
Pygl,96,107,52,95,32,14,55,37
Cd38,158,187,111,155,147,116,144,228
Lrp12,187,253,243,282,342,314,620,447
Unc5c,444,1111,215,358,805,1877,1732,2436
Thumpd2,112,114,105,95,96,69,128,108
Rfx7,748,851,611,559,1672,1681,1950,1577
Lyzl4os,0,0,0,0,0,0,0,0
Cspg5,11,7,18,9,16,12,73,15
Sesn2,972,945,1004,1145,1307,728,1451,550
Mir547,0,0,0,0,0,0,0,0
AU021092,5,1,10,5,0,0,5,0
Tbc1d17,509,586,618,639,367,210,410,254
Ncl,17904,18205,10955,11929,30841,25175,25688,17406
Med11,196,219,207,222,365,231,288,151
Shb,359,438,322,411,362,295,281,182
Btbd11,46,34,38,25,64,93,125,62
Dera,341,443,373,304,402,253,326,182
Ngfrap1,3842,5638,3634,4940,3836,2599,3523,2469
Sectm1b,0,0,0,0,0,0,0,0
Ppp1r3g,37,58,17,28,27,21,46,22
Bpifb5,7,6,1,1,0,3,2,0
Zmym5,532,693,561,554,626,555,838,681
Rab8b,283,402,283,338,653,688,584,440
Smyd2,640,841,750,860,789,626,879,605
Zfp14,20,24,34,30,15,22,47,30
Hist1h2br,0,0,0,0,0,0,0,0
Creg2,5,5,2,4,15,9,13,22
Ssxb10,0,0,0,0,0,0,0,0
Sult2a5,0,0,0,0,0,0,0,0
Atg16l1,704,715,632,663,794,585,838,481
Zbtb12,385,458,288,281,796,509,937,396
Cyp2t4,2,3,3,4,8,5,8,5
Ifna1,0,0,0,0,0,0,0,0
4932438A13Rik,1291,1435,1430,1388,1049,1207,1340,1107
Syncrip,2140,2484,1892,1924,3451,2930,3566,2394
Snhg8,187,213,164,189,412,275,385,217
Mir7064,4,2,1,3,0,4,4,0
Lrrc52,0,0,0,0,0,2,0,0
Fam222a,46,68,36,79,170,104,243,148
Nlgn3,26,31,25,24,25,16,65,14
Olfr860,0,0,0,0,0,0,0,0
Padi4,0,1,0,0,6,1,16,13
Epha1,531,447,381,466,732,223,370,128
Ergic1,1639,1894,2205,2061,2387,2282,2848,1910
Sft2d1,20,17,28,26,22,13,34,21
Gm2447,0,0,0,0,0,0,0,0
Cops7b,384,445,407,344,687,360,730,260
Pigv,151,209,173,208,153,70,175,88
Ttf2,704,677,436,453,1116,691,1066,505
Dsg1b,0,0,0,0,0,0,1,0
Hist1h3h,1,0,0,0,1,0,4,1
Vimp,923,741,1136,1229,744,506,692,461
Ubr1,725,861,714,682,857,728,954,640
Ttll2,0,0,0,0,0,0,0,0
Klra18,0,0,0,0,0,0,0,0
Pldi,2,0,0,0,0,0,0,0
Meaf6,232,308,171,208,434,458,457,375
Hmgxb4,692,713,668,522,1170,744,1345,872
Il1rap,22,35,30,53,49,88,142,182
Gm7538,0,0,0,0,0,0,0,2
Gm5111,0,0,1,0,0,0,0,0
Afap1l1,256,540,247,498,302,300,341,188
Gm9958,25,36,29,29,35,54,30,38
Pigg,252,278,261,334,217,147,279,138
Spata17,3,1,4,1,8,2,4,0
Gm2694,16,22,5,6,28,31,33,24
Ap3b1,1488,1710,1614,1804,1187,1217,1364,1163
Stfa1,0,1,0,0,0,0,0,0
Hoxc11,0,4,1,2,11,0,11,1
Slx4ip,95,118,95,86,103,99,157,110
Tmem191c,28,42,34,43,20,17,59,22
Wfdc17,0,0,0,0,0,0,0,0
C330027C09Rik,1204,1383,876,984,1833,1968,1761,1577
Fam163b,6,3,1,4,43,34,11,12
Tcf3,1470,2007,1350,1514,2938,1951,3921,1801
Mir196a-1,0,0,0,0,2,2,4,0
Qars,2410,2786,2132,2470,2516,2335,2598,1814
Myh3,0,2,2,1,10,1,26,11
1700001G17Rik,0,6,6,3,3,2,3,1
Cd300lb,3,5,12,12,1,0,1,4
Ptdss1,1000,1072,1252,1337,970,887,894,641
Olfr1454,0,0,0,0,0,0,0,0
Zic4,10,2,25,2,25,10,219,7
Gmds,84,121,127,129,103,72,126,101
Mir7-1,4,7,3,6,9,6,6,4
Wdr53,98,120,109,119,139,62,140,59
Eif1ax,711,851,507,538,1788,1209,1396,906
Gm16973,218,218,168,132,352,275,303,241
Kcnmb3,0,0,0,0,0,0,0,0
AU016765,0,0,0,0,0,0,0,0
Tmem87b,463,419,648,691,485,318,611,439
Atp5e,692,713,770,673,903,375,928,321
Myoz2,0,0,0,0,0,0,0,0
Ggt5,1,4,2,3,1,2,4,1
Ccdc54,0,0,1,0,1,1,0,0
Prph2,0,0,1,0,1,0,0,1
Tmem138,163,198,162,189,262,250,294,213
4922502H24Rik,0,0,0,0,0,0,0,0
Fdx1,75,86,74,109,71,22,93,45
Gkn2,218,42,2673,917,13,2,20,0
Pbk,329,367,271,239,387,338,435,306
Ofd1,291,365,224,267,339,287,430,334
Zfand5,725,848,686,812,1077,851,1053,804
Gimap1,0,7,2,3,1,1,3,0
Lclat1,180,236,252,288,258,277,366,429
Mlana,2,1,0,0,1,2,2,6
A630077J23Rik,0,0,1,0,0,0,0,0
Atg10,37,40,28,44,27,20,44,27
Foxl1,2,1,15,29,2,1,23,3
Obox1,0,0,0,0,0,0,0,0
Kidins220,1367,1639,1943,2033,978,876,1868,1238
Sult2b1,4,2,5,2,7,3,6,8
Slc1a6,20,50,31,41,27,18,26,14
Tcf25,3179,3152,3804,3312,2841,2107,3244,2100
2410114N07Rik,0,0,0,0,2,0,1,0
Olfr1362,0,0,0,0,0,0,0,1
Lect1,0,0,0,0,0,0,5,2
Atp8b4,0,0,1,6,0,0,0,2
Mir1912,0,0,0,0,0,0,0,0
Ccdc50,1895,2265,2149,2291,1886,1654,2587,2018
Fmo2,2,2,0,0,0,0,2,0
Tspan14,1315,1583,1202,1263,1363,817,1540,663
Mir763,0,0,0,0,0,0,0,0
Tcea1,237,299,220,247,487,425,506,411
Mipep,268,260,244,176,339,289,335,228
Slc9a1,602,661,789,705,491,387,518,378
Mir7044,0,0,0,0,0,0,0,0
F2,196,235,554,779,44,1,93,2
2410021H03Rik,1,4,3,5,2,4,9,5
Aga,325,182,611,403,74,17,107,30
Ltc4s,2,5,2,8,11,4,3,0
Xrcc6bp1,40,33,29,29,110,52,94,30
Mir28b,0,0,0,0,0,0,0,0
Wfdc16,0,0,0,0,0,0,0,0
Pskh1,544,672,670,671,504,540,704,527
1700011C11Rik,0,0,0,0,0,0,0,0
Mir6376,2,0,0,0,1,0,0,0
Tsga13,0,0,2,1,0,0,1,0
Rps3a1,1213,1418,1051,1130,1882,1583,1604,1302
Ddx27,1203,1293,864,1010,1739,1447,1625,961
Cys1,15,15,21,51,9,3,13,5
Rpn2,5705,5146,7234,7787,4722,3577,5125,3314
Tlr8,0,0,0,0,0,0,0,0
Gm15107,0,0,0,0,0,0,0,0
Pde6d,203,204,260,267,175,174,264,219
AU022252,229,283,197,244,236,215,259,182
Glyatl3,3,1,0,1,16,3,10,7
Poli,152,167,166,144,147,108,198,181
Alad,256,426,300,299,478,437,514,346
Rxfp3,2,5,1,1,1,4,3,5
Cyp2w1,0,0,0,0,0,0,2,1
Zeb2,280,560,248,547,531,759,855,1118
Cd274,15,28,41,43,46,21,29,19
Ogt,3531,4167,3225,3629,3321,4164,4514,4206
Mir7216,0,0,0,0,0,0,0,0
Mir7032,0,1,0,0,0,0,2,0
Atp6v0c,770,749,894,816,407,159,418,124
Cryba1,0,1,0,0,0,0,1,1
Gpn1,567,597,349,375,1063,613,852,440
Vcl,1704,2350,1432,1722,3281,2897,2604,2632
Ddx59,147,176,143,193,146,110,180,112
Gm20139,0,0,0,0,0,0,0,0
Mir8109,0,0,0,0,0,0,0,0
Olfr561,0,0,0,0,0,0,0,0
Emp2,769,803,1364,1077,217,204,292,144
Rad51d,216,216,207,186,218,91,232,126
Glb1l3,0,2,0,0,0,0,1,0
Rnaseh2c,287,276,237,208,284,168,298,92
Zdhhc9,729,1077,1149,1763,435,308,579,365
1700125G22Rik,0,0,0,0,0,0,1,0
Mlec,5141,4894,6962,6821,5551,4109,6098,3651
Cct6b,3,4,7,2,1,0,5,1
Mospd3,134,147,119,163,200,109,166,80
Ssfa2,897,1041,974,1110,653,531,709,506
Plekha3,312,345,247,245,500,543,452,476
Olfr358,0,0,0,0,0,0,0,0
Rnf40,1092,1258,1151,1133,1496,944,1767,903
Il3,0,0,0,0,0,0,0,0
Olfr313,0,0,0,0,0,0,0,0
Pls3,1371,2212,1034,1369,1996,1689,2037,1958
Heatr3,1121,1013,985,898,1311,776,1215,648
Rcn2,1163,1154,1953,1546,1453,1213,1494,950
Bsn,14,28,16,19,34,10,124,28
Nfxl1,1350,1635,1088,1118,1251,1363,1200,981
Defb35,0,0,0,0,0,0,0,0
Sprr2g,0,0,0,0,0,0,0,0
Mir200c,0,0,0,0,0,0,0,0
Map2k7,1068,1143,1247,1109,1116,716,1313,660
Cstf2t,603,733,644,733,952,649,1281,802
Pctp,221,240,228,248,216,94,244,78
Btbd1,260,334,263,304,374,509,489,525
Melk,627,789,485,517,1005,1016,949,780
Ints3,1675,1863,1789,1977,1863,1601,2047,1416
Slc7a7,899,825,562,609,795,486,497,361
Wdr81,1249,1341,1445,1379,585,194,700,229
Mir7009,0,2,5,4,9,1,4,1
Olfr691,0,1,0,0,0,0,0,0
1700096J18Rik,3,4,1,2,2,1,1,0
Vmn1r49,0,0,0,0,0,0,0,0
Zfp955a,101,122,137,121,185,144,197,142
Eri1,680,706,599,577,922,575,809,507
Siglec15,0,0,0,1,0,0,0,0
Cntln,48,89,70,83,86,108,259,268
